time,alpha_x,alpha_y,alpha_z,train_err,test_err
2016-06-14T17.40.04.564,-93.2431,79.1196,-64.4799,4.94,5.6
2016-06-14T17.40.09.564,-93.2422,79.1196,-64.4758,5.05,5.6
2016-06-14T18.05.10.028,-95.0811,79.2798,-66.2764,5.54,5.6
2016-06-14T18.05.15.028,-95.0812,79.2801,-66.2748,5.28,5.6
2016-06-14T18.05.25.028,-95.0806,79.2799,-66.2733,5.54,5.6
2016-06-14T18.25.04.500,-91.4561,78.9495,-62.7287,4.93,5.6
2016-06-14T18.25.19.500,-91.4582,78.9496,-62.7702,4.54,5.6
2016-06-14T19.05.04.448,-94.087,78.7763,-65.2697,5.66,5.6
2016-06-14T19.05.09.448,-94.0871,78.7759,-65.235,5.33,5.6
2016-06-14T19.05.14.448,-94.0868,78.7762,-65.2379,5.41,5.6
2016-06-14T19.05.19.448,-94.0874,78.7767,-65.2797,5.56,5.6
2016-06-14T19.05.24.448,-94.0883,78.7766,-65.3044,5.33,5.6
2016-06-14T19.05.29.448,-94.0879,78.7763,-65.2665,4.78,5.6
2016-06-14T19.05.34.448,-94.0869,78.7761,-65.2532,5.19,5.6
2016-06-14T19.25.04.924,-93.2408,79.12,-64.4829,4.84,5.6
2016-06-14T19.25.09.924,-93.2408,79.1198,-64.5273,4.49,5.6
2016-06-14T19.25.14.924,-93.2393,79.12,-64.4714,4.71,5.6
2016-06-14T19.25.19.924,-93.2402,79.1203,-64.5076,4.22,5.6
2016-06-14T19.25.24.924,-93.2407,79.1203,-64.4823,4.9,5.6
2016-06-14T19.25.29.924,-93.24,79.1202,-64.4673,4.65,5.6
2016-06-14T19.25.34.924,-93.2411,79.1204,-64.4935,4.62,5.6
2016-06-14T20.24.04.680,-93.239,79.1196,-64.4569,4.56,5.6
2016-06-14T20.24.09.680,-93.2384,79.1205,-64.4631,4.31,5.6
