time,angle_x,angle_y,angle_z,train_res,test_res
2016-06-14T17.40.04.564,-93.3134,79.1287,-64.5497,4.92,4.41
2016-06-14T17.40.09.564,-93.3128,79.1287,-64.5466,4.92,3.59
2016-06-14T18.05.10.028,-95.1539,79.2884,-66.3505,5.55,2.57
2016-06-14T18.05.15.028,-95.154,79.2887,-66.3531,5.33,8.47
2016-06-14T18.05.25.028,-95.1534,79.2886,-66.3501,5.6,7.05
2016-06-14T18.25.04.500,-91.5236,78.959,-62.7973,4.84,0.95
2016-06-14T18.25.19.500,-91.5255,78.959,-62.8381,4.45,6.88
2016-06-14T19.05.04.448,-94.1552,78.7853,-65.3256,5.69,8.81
2016-06-14T19.05.09.448,-94.1558,78.7851,-65.3014,5.35,3.64
2016-06-14T19.05.14.448,-94.1557,78.7853,-65.3053,5.37,4.97
2016-06-14T19.05.19.448,-94.1557,78.7858,-65.3391,5.54,4.04
2016-06-14T19.05.24.448,-94.1569,78.7857,-65.3704,5.29,2.89
2016-06-14T19.05.29.448,-94.1562,78.7854,-65.331,4.85,4.48
2016-06-14T19.05.34.448,-94.1556,78.7852,-65.321,5.21,9.41
2016-06-14T19.25.04.924,-93.3111,79.1291,-64.5523,4.78,7.24
2016-06-14T19.25.09.924,-93.3116,79.1289,-64.5985,4.42,11.19
2016-06-14T19.25.14.924,-93.3097,79.1291,-64.5405,4.73,0.75
2016-06-14T19.25.19.924,-93.3106,79.1294,-64.5787,4.1,9.51
2016-06-14T19.25.24.924,-93.3111,79.1294,-64.5525,4.77,0.54
2016-06-14T19.25.29.924,-93.3105,79.1293,-64.5368,4.59,2.9
2016-06-14T19.25.34.924,-93.3118,79.1295,-64.5649,4.48,6.59
2016-06-14T20.24.04.680,-93.3094,79.1286,-64.5294,4.45,8.96
2016-06-14T20.24.09.680,-93.3088,79.1296,-64.5327,4.24,10.24
