time,alpha_x,alpha_y,alpha_z,train_err,test_err
2016-04-07T12.43.03.780,172.3633,-12.1203,-72.9279,2.6,2.46
2016-04-07T12.43.08.780,172.3633,-12.1203,-72.9113,2.6,2.46
2016-04-07T12.43.13.780,172.3633,-12.1201,-72.922,2.6,2.46
2016-04-07T13.01.03.739,172.3663,-12.1228,-73.0435,2.6,2.46
2016-04-07T13.01.08.739,172.3661,-12.1228,-73.0459,2.6,2.46
2016-04-07T13.01.13.739,172.3661,-12.1227,-73.0536,2.6,2.46
2016-04-07T13.05.04.381,178.0878,7.0354,106.8634,2.6,2.46
2016-04-07T13.05.09.381,178.0877,7.0355,106.8636,2.6,2.46
2016-04-07T13.05.14.381,178.0875,7.0354,106.8527,2.6,2.46
2016-04-07T13.17.04.017,172.3231,-12.1126,-72.8793,2.6,2.46
2016-04-07T13.17.09.017,172.3231,-12.1125,-72.8886,2.6,2.46
2016-04-07T13.17.14.017,172.3232,-12.1124,-72.8838,2.6,2.46
