time,angle_x,angle_y,angle_z,train_res,test_res
2016-04-07T12.43.03.780,172.3635,-12.121,-72.9237,3.93,3.9
2016-04-07T12.43.08.780,172.3635,-12.121,-72.9187,3.93,3
2016-04-07T12.43.13.780,172.3634,-12.1209,-72.9215,3.92,3.07
2016-04-07T13.01.03.739,172.3664,-12.1235,-73.0413,3.85,3.61
2016-04-07T13.01.08.739,172.3662,-12.1234,-73.044,3.87,1.19
2016-04-07T13.01.13.739,172.366,-12.1234,-73.0516,3.76,4.84
2016-04-07T13.05.04.381,178.0875,7.0364,106.8476,3.9,1.45
2016-04-07T13.05.09.381,178.0874,7.0365,106.8529,3.88,2.23
2016-04-07T13.05.14.381,178.0872,7.0364,106.8507,3.85,1.37
2016-04-07T13.17.04.017,172.3232,-12.1133,-72.8759,3.4,5.29
2016-04-07T13.17.09.017,172.3232,-12.1133,-72.8863,3.44,4.88
2016-04-07T13.17.14.017,172.3232,-12.1132,-72.8818,3.37,8.26
